NOM;COORDONNEES;LAT;LON;COUNTRY_CODE
Cala Boix;;39.016667;1.6;ES
Cala Bona;;39.616667;3.4;ES
Cala Boquer;;39.933333;3.1;ES
Cala Camp De Mar;;39.533333;2.416667;ES
Cala Den Serra;;39.1;1.55;ES
Cala De Albarca;;39.066667;1.366667;ES
Cala De Gran Tarajal;;28.2;-14.016667;ES
Cala De Santanyi;;39.333333;3.15;ES
Cala De Sa Coma;;39.566667;3.383333;ES
Cala Dor;;39.366667;3.233333;ES
Cala Es Cubells;;38.866667;1.283333;ES
Cala Figuera;;39.966667;3.183333;ES
Cala Foradada;;39.75;2.616667;ES
Cala Fornells;;40.05;4.133333;ES
Cala Garvet;;42.4;3.15;ES
Cala Joncols;;42.25;3.266667;ES
Cala Llamp;;39.533333;2.383333;ES
Cala Mesquida;;39.75;3.45;ES
Cala Mondragon;;39.35;3.183333;ES
Cala Montjoi;;42.25;3.233333;ES
Cala Peguera;;39.516667;2.45;ES
Cala Portitxol;;39.083333;1.416667;ES
Cala Rajada;;39.7;3.466667;ES
Cala San Miguel;;39.083333;1.45;ES
Cala San Vicente Ibiza;;39.066667;1.6;ES
Cala San Vicente Mallorca;;39.916667;3.066667;ES
Cala Saona;;38.7;1.383333;ES
Cala Sol Den Serra;;38.933333;1.516667;ES
Cala Tarida;;38.933333;1.216667;ES
Cala Tavallera;;42.333333;3.25;ES
Cala Tirant;;40.05;4.1;ES
Cala Xarraca;;39.1;1.5;ES
Caleta De Corralejo;;28.733333;-13.866667;ES
Caleta De Fuste;;28.4;-13.85;ES
Calpe;;38.633333;0.05;ES
Camarasa;;41.933333;0.866667;ES
Camarillas;;38.366667;-1.633333;ES
Campedro;;40.75;0.55;ES
Camporredondo;;42.9;-4.733333;ES
Canales;;37.15;-3.466667;ES
Cancho Del Fresno;;39.4;-5.383333;ES
Canelles;;41.983333;0.616667;ES
Cantillana;;37.6;-5.8;ES
Carnota;;42.833333;-9.116667;ES
Casares De Arbas;;42.933333;-5.766667;ES
Casar De Caceres;;39.583333;-6.45;ES
Casasola;;36.816667;-4.5;ES
Caspe;;41.25;-0.05;ES
Casteldefels;;41.266667;2;ES
Castilseras;;38.75;-4.8;ES
Castrejon;;39.85;-4.283333;ES
Castrelo;;42.316667;-8.066667;ES
Castrovido;;42.033333;-3.25;ES
Castro De Las Cogotas;;40.716667;-4.7;ES
Cazalegas;;40.016667;-4.7;ES
Cecebre;;43.283333;-8.283333;ES
Cedeira;;43.65;-8.066667;ES
Cedillo Centro;;39.666667;-7.266667;ES
Cedillo Este;;39.65;-7.183333;ES
Cedillo Oeste;;39.65;-7.366667;ES
Cedillo Presa;;39.666667;-7.516667;ES
Celemin;;36.3;-5.75;ES
Cenza;;42.2;-7.25;ES
Cernadilla;;42.016667;-6.483333;ES
Cervera;;42.866667;-4.533333;ES
Chandreja;;42.25;-7.4;ES
Chanza;;37.6;-7.483333;ES
Charco Redondo;;36.25;-5.55;ES
Chiprana Este;;41.266667;-0.116667;ES
Chiprana Oeste;;41.283333;-0.166667;ES
Ciurana;;41.25;0.916667;ES
Civan;;41.133333;-0.016667;ES
Colomera;;37.4;-3.716667;ES
Compuerto;;42.883333;-4.783333;ES
Conde De Guadalhorce;;36.916667;-4.816667;ES
Contreras;;39.583333;-1.516667;ES
Cordobilla;;37.35;-4.733333;ES
Cornalvo;;39;-6.183333;ES
Corrubedo;;42.566667;-9.05;ES
Cortes;;39.25;-0.983333;ES
Corumbel Bajo;;37.433333;-6.566667;ES
Costa Adeje;;28.066667;-16.733333;ES
Crevillente;;38.25;-0.8;ES
Cubilar;;39.25;-5.466667;ES
Cubillas;;37.283333;-3.666667;ES
Cuevas Del Almanzora;;37.333333;-1.9;ES
Cueva Foradada;;40.966667;-0.7;ES
Cullera;;39.166667;-0.233333;ES
Cijara Norte;;39.333333;-4.9;ES
Cijara Sur;;39.233333;-4.783333;ES
Deltebre;;40.716667;0.733333;ES
Doiras;;43.366667;-6.833333;ES
Don Melendo;;36.95;-6.05;ES
Dona Aldonza;;37.933333;-3.316667;ES
Ebro;;43;-4;ES
Edrada;;42.333333;-7.533333;ES
Eiras;;42.35;-8.483333;ES
El Aguijon;;38.483333;-6.916667;ES
El Atance;;41.083333;-2.766667;ES
El Atazar;;40.9;-3.533333;ES
El Bao;;42.216667;-7.133333;ES
El Burguillo;;40.416667;-4.566667;ES
El Carpio;;37.983333;-4.5;ES
El Cenajo;;38.366667;-1.816667;ES
El Entredicho;;38.733333;-4.666667;ES
El Fangal;;40.8;0.716667;ES
El Ferial;;42.283333;-1.583333;ES
El Gergal;;37.566667;-6.05;ES
El Grado;;42.216667;0.233333;ES
El Grau;;39.95;4.283333;ES
El Molinar;;39.216667;-1.25;ES
El Naranjero;;39.266667;-0.866667;ES
El Pardo;;40.55;-3.783333;ES
El Pintado;;38;-5.95;ES
El Portillo;;37.816667;-2.783333;ES
El Regajo;;39.9;-0.533333;ES
El Rompido;;37.216667;-7.116667;ES
